performance_id,act_name,stage_location,show_time,price_tier,ticket_price,weather_backup,city
401,Metal Storm,Ocean Stage,2025-08-10 20:00,Premium,299.99,Indoor Arena,San Francisco
402,Country Rose,Mountain View,2025-08-10 18:30,Standard,179.99,Covered Pavilion,San Francisco
403,Solar Collective,Ocean Stage,2025-08-10 22:30,Premium,299.99,Indoor Arena,San Francisco
404,Dark Wave,Park Stage,2025-08-10 16:00,Budget,89.99,Small Venue,San Francisco
405,Native Sons,Mountain View,2025-08-11 17:00,Standard,179.99,Covered Pavilion,San Francisco
406,Urban Mystic,Ocean Stage,2025-08-11 21:00,Premium,299.99,Indoor Arena,San Francisco
407,Luna Bliss,Mountain View,2025-08-11 19:30,Standard,179.99,Covered Pavilion,San Francisco
408,Stage Drama,Park Stage,2025-08-11 15:30,Budget,89.99,Small Venue,San Francisco
409,Ocean Republic,Ocean Stage,2025-08-12 19:00,Premium,299.99,Indoor Arena,San Francisco
410,Field Runner,Park Stage,2025-08-12 14:00,Budget,89.99,Small Venue,San Francisco
411,Sister Harmony,Mountain View,2025-08-12 20:30,Standard,179.99,Covered Pavilion,San Francisco
412,Cosmic Journey,Park Stage,2025-08-12 17:30,Budget,89.99,Small Venue,San Francisco